GET / 304 2.158 ms
d2e7533a-171e-4175-a1c3-7d20689f357a GET / 304 2.111 ms
50644607-c012-49ab-aa44-b887452525bf GET / 304 0.446 ms
a344244b-4737-4287-a475-43975f1f4f1d GET / 200 2.102 ms
ffa9c9ef-3cc1-4144-914a-ead3d785c858 GET / 304 0.529 ms
74359d93-8478-4dc0-a05f-0678864e295f GET / 304 0.428 ms
a654a800-5337-4971-9a5f-6acf14e4959c GET / 302 2.567 ms
ccb52998-c8f0-4318-a11f-d19a4710b4ce GET /api/user 404 0.740 ms
e290b629-77a5-4520-a597-402a2a3a6797 GET /api/user 500 3.477 ms
33ba5787-2916-49a4-9176-407cd52498aa GET /api/user 200 6.947 ms
5e09ffec-9bac-411d-a826-975b33e6a932 GET /api/user 200 1.212 ms
f7294834-6be6-493f-a74e-cb24251d0b99 GET /api/user 200 7.137 ms
53834136-b5e0-4f8e-8c8b-1ef457a3e5ce GET /api/user/login 200 0.705 ms
91d3dd41-3615-40b5-b604-ce8f64f1b37e GET /api/user/register 200 0.871 ms
ee2f178f-9766-4aff-b8f2-04f63ee4459d GET / 302 2.153 ms
07e90a5e-3de4-4a58-9486-2ed499a1f29b GET /api/user 304 1.382 ms
3842815e-6e48-4883-9178-45264afdda4c GET /api/user 200 0.919 ms
03544246-a83d-4dde-969a-5442142daaf6 GET /api/user/login 200 5.868 ms
44bc3001-6a9c-4de2-ae51-b1fc4caa6b3d GET /api/user/login 200 1.494 ms
b0e915b7-6a47-422b-b300-d44f174ac7f9 GET /api/user/login/details?username= 404 1.667 ms
f044edaa-9439-4d74-83c1-2a7bd26a3160 GET /api/user/login/details?username= 404 0.451 ms
c705f869-e5ed-4db9-8e0e-50706d8ef117 GET /api/user/login/details?username= 404 0.526 ms
4a786575-60ac-4e38-bd7a-2d18184adb10 GET /api/user/login 200 1.244 ms
198b82d0-ffd9-413f-a6c3-baaee7d52388 GET /api/user/login 200 0.746 ms
df416703-41f2-4567-af72-3559d3858bb6 GET /api/user/login 200 2.867 ms
f2e7421b-b2b9-404e-bf06-35a0bf4610e6 GET /api/user/login 200 0.822 ms
4edecdb5-19dc-4d41-a4d1-ce2796f92f3f GET /api/user/login 304 6.066 ms
2f939494-7e57-4f27-bd3b-252814a1d23a GET /api/user/register 200 1.389 ms
d1c77f38-dbd6-4a5e-9703-bccde084512c GET /api/user/register/details?username=sfd&email=sdf&phonenumber=&password=123123 404 1.521 ms
73f5826e-4f6f-47f7-8480-a361d0095711 GET / 302 2.513 ms
6c6e49d2-0934-4f62-b8d8-8391adfb587d GET /api/user 304 5.096 ms
866a6c3f-9078-418d-aced-5bdee8be55d9 GET /api/user/login 304 1.342 ms
954948d8-ecab-43bb-9cb3-ed4398b714fa GET /api/user/login/details?username=bragu&password=brad 200 0.697 ms
bb8fac9d-eb35-447b-8583-b6538a14f7c1 GET /api/user/login/details?username=bragu&password=brad 304 2.328 ms
5b066757-98c9-48ff-ad99-51cd45579dd5 GET /api/user/login/details?username=bragu&password=brad 304 0.555 ms
437a2581-46b9-4ade-885d-3ffc9c991888 GET /api/user/login/details?username=bragu&password=brad 200 2.397 ms
f70871fb-6941-4f2c-aadb-2a220a38a633 GET /api/user/register 200 7.132 ms
c25e2278-3dc9-4668-b701-8f2c34f0ed2b GET /api/user/register 200 1.319 ms
bb0361ae-a830-4f2b-aef9-01747b0e1cb1 GET /api/user/details 404 1.766 ms
b33600ac-28a2-413c-99f4-1f436008f8d1 GET /api/user/details 404 0.539 ms
e3936804-ab13-48dd-a579-6ad7d76475b6 GET /api/user/details 404 0.529 ms
c6fe13fb-7869-41f7-9b8a-51a3de2062e8 GET /api/user/details 404 0.391 ms
4022900d-844d-4953-8809-bdfde1643e1d GET /api/user/details 404 0.378 ms
2ed9020f-3249-488b-b5fa-63483d089355 GET /api/user/register 200 0.862 ms
c92d5880-02dd-4ba1-9377-ab55443b999f GET /api/user/login 304 1.310 ms
80b202a0-4447-4da7-8f67-464fa9ffd72f GET /api/user/register 304 1.110 ms
615befdc-89c9-4915-ae5a-9de276d1af53 GET /api/user/login 304 0.781 ms
7cb26640-b0a5-4409-a3cb-b7db3803ccf3 GET /api/user/login 304 7.456 ms
d1f6584e-015f-45c5-a5d2-112aa24851a4 GET /api/user/register 304 1.242 ms
2456795f-4aad-4956-9a01-fc60aca51a0c GET /api/user/register/details?username=braglath&email=pubgtamilstreamer%40gmail.com&phonenumber=12341234&password=1234234 200 0.695 ms
da756a2a-2290-41d0-b5ef-fd8af18e9f32 GET /api/user/register 304 7.423 ms
e8592b36-a374-42b7-baab-7c3afc2c9269 GET /api/user/register/details?username=&email=&phonenumber=&password= 200 0.975 ms
97c5984b-1699-4c97-8c0e-329d6fdfa8e0 GET / 302 2.818 ms
a1c958fe-8137-4b68-a821-a5ee558a4aa0 GET /api/user 304 5.370 ms
f07222ea-e93f-421b-82d9-92d1f709080b GET /api/user/register 304 1.136 ms
1a7f4f74-b8ca-4b79-9e8c-5e6989e83600 GET /api/user/register/details?username=bragu&email=braglath44%40gmail.com&phonenumber=123452134&password=1234 200 0.677 ms
9f573250-755e-4e92-a7e3-ca329a58d626 GET /api/user/register 304 6.605 ms
